Déchets;Déchets ménagers et encombrants;Déchets ménagers et encombrants par habitant;Déchets ménagers;Déchets ménagers par habitant;Déchets encombrants;Déchets encombrants par habitant;Déchets industriels assimilés aux déchets ménagers;Déchets industriels assimilés aux déchets ménagers par habitant
Dippach;941080;248;807860;213;133220;35;52446;14
Garnich;270003;139;245878;127;24125;12;47985;25
Hobscheid;802920;247;660960;203;141960;44;15475;5
Käerjeng;2444923;249;2219640;226;225283;23;429675;44
Kehlen;798456;151;739471;140;58985;11;59953;11
Koerich;391727;168;360554;155;31173;13;417839;179
Kopstal;589148;184;545038;170;44110;14;15131;5
Mamer;1468548;183;1369527;171;99021;12;1275138;159
Septfontaines;129098;156;108643;131;20455;25;3927;5
Steinfort;874103;188;817618;176;56485;12;77242;17
Bettembourg;1956652;196;1433600;143;523052;52;6140067;614
Differdange;5088440;220;4261840;184;826600;36;656920;28
Dudelange;4563331;236;3782380;195;780951;40;296529;15
Esch-sur-Alzette;7944210;246;6812960;211;1131250;35;562015;17
Frisange;690360;175;549660;139;140700;36;19936;5
Kayl;1891323;237;1452680;182;438643;55;170325;21
Leudelange;720280;317;645440;284;74840;33;798307;351
Mondercange;1376884;218;1090260;173;286624;45;812263;129
Pétange;3524936;207;3255456;191;269480;16;347784;20
Reckange-sur-Mess;587703;266;514160;232;73543;33;12930;6
Roeser;964101;176;792040;145;172061;31;481332;88
Rumelange;1589753;306;1406000;270;183753;35;25351;5
Sanem;2467969;165;1938520;130;529449;35;138921;9
Schifflange;2379214;258;2162700;234;216514;23;93699;10
Bertrange;1060678;163;978812;151;81866;13;2057483;316
Contern;527687;150;455180;129;72507;21;59762;17
Hesperange;3327470;236;2912690;207;414780;29;847805;60
Luxembourg;35272190;335;32860353;312;2411837;23;5543353;53
Niederanven;1155017;206;1035420;185;119597;21;743445;133
Sandweiler;601534;179;498600;149;102934;31;508175;151
Schuttrange;642897;166;569080;147;73817;19;255179;66
Steinsel;1053080;215;969060;198;84020;17;134587;28
Strassen;1805169;231;1713077;219;92092;12;731223;94
Walferdange;1695520;222;1579560;207;115960;15;497332;65
Weiler-la-Tour;463100;223;403080;194;60020;29;9708;5
Bissen;636740;227;575332;205;61408;22;258890;92
Boevange-sur-Attert;535775;242;486402;220;49373;22;201904;91
Colmar-Berg;440036;216;395621;194;44415;22;185874;91
Fischbach;244594;232;221258;210;23336;22;94141;89
Heffingen;313976;274;240476;210;73500;64;104427;91
Larochette;470599;227;416090;201;54509;26;190044;92
Lintgen;613860;223;552349;201;61511;22;253330;92
Lorentzweiler;476068;131;395140;109;80928;22;332275;92
Mersch;1991341;233;1805308;211;186033;22;784545;92
Nommern;302878;245;276305;224;26573;22;112860;91
Tuntange;378815;268;347432;246;31383;22;126388;90
Clervaux;1017440;218;893377;191;124063;27;426509;91
Parc Hosingen;748530;237;673439;213;75091;24;288262;91
Troisvierges;599933;199;525835;174;74098;25;279552;93
Weiswampach;262851;179;226606;155;36245;25;133429;91
Wincrange;700269;176;602096;151;98173;25;365448;92
Bettendorf;652040;249;563270;215;88770;34;242211;92
Bourscheid;397471;259;346841;226;50630;33;139081;91
Diekirch;1609605;244;1388981;211;220624;34;603952;92
Erpeldange-sur-Sûre;692788;296;606714;259;86074;37;216545;92
Ettelbruck;2184286;267;1912456;234;271830;33;750074;92
Feulen;383269;235;327380;201;55889;34;147049;90
Mertzig;469327;243;400354;207;68973;36;177904;92
Reisdorf;273294;247;238033;216;35261;32;99793;90
Schieren;415195;241;358606;208;56589;33;155946;90
Vallée de l'Ernz;578515;236;498923;204;79592;33;225254;92
Beckerich;534738;223;474847;198;59891;25;220807;92
Ell;272617;231;241810;205;30807;26;108040;92
Grosbous;222555;246;200527;221;22028;24;82652;91
Préizerdaul;371286;244;341307;224;29979;20;136117;89
Rambrouch;871994;215;789853;195;82141;20;372952;92
Redange-sur-Attert;727213;276;668847;254;58366;22;243786;93
Saeul;157090;223;142093;201;14997;21;66158;94
Useldange;460570;287;428428;267;32142;20;145938;91
Vichten;276001;269;225161;220;50840;50;93864;92
Wahl;187232;209;165654;185;21578;24;80613;90
Putscheid;232616;224;198141;191;34475;33;96366;93
Tandel;421558;235;360780;201;60778;34;164192;91
Vianden;532328;290;467576;255;64752;35;167620;91
Boulaide;293894;288;257418;252;36476;36;94698;93
Esch-sur-Sûre;543649;224;470368;194;73281;30;224049;92
Goesdorf;279842;204;242853;177;36989;27;124256;91
Kiischpelt;241228;223;211687;196;29541;27;99238;92
Lac de la Haute-Sûre;377707;232;321086;197;56621;35;148810;91
Wiltz;1216622;417;1041397;359;175225;57;564016;183
Winseler;235941;216;199971;183;35970;33;99423;91
Beaufort;586730;245;500678;209;86052;36;219787;92
Bech;305462;260;253580;216;51882;44;63120;54
Berdorf;413912;222;353020;189;60892;33;94895;51
Consdorf;500652;273;441210;240;59442;32;115420;63
Echternach;1431798;266;1337440;249;94358;18;666675;124
Mompach;301709;252;272810;228;28899;24;63011;53
Rosport;546581;260;479970;228;66611;32;167716;80
Waldbillig;417142;291;317550;222;99592;69;73924;52
Betzdorf;740892;211;675950;193;64942;19;988269;282
Biwer;427924;243;387950;220;39974;23;189210;107
Flaxweiler;442500;237;402710;216;39790;21;291773;157
Grevenmacher;1122300;245;1000330;218;121970;27;742826;162
Junglinster;1616576;241;1405550;210;211026;31;528048;79
Manternach;459371;248;418650;226;40721;22;200482;108
Mertert;1252802;299;1015640;242;237162;57;755204;180
Wormeldange;649390;258;578170;230;71220;28;198437;79
Bous;374056;259;312620;217;61436;43;74524;52
Dalheim;460453;230;427970;214;32483;16;113103;56
Lenningen;413124;236;379420;216;33704;19;88785;51
Mondorf-les-Bains;1130958;249;1059720;233;71238;16;223173;49
Remich;940311;273;792330;230;147981;43;548060;159
Schengen;1096683;257;916290;215;180393;42;297327;70
Stadtbredimus;432361;267;360850;223;71511;44;115516;71
Waldbredimus;219183;229;208330;218;10853;11;48082;50
